city,admin_name,lat,lng,forecast_date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code,temp_category,rain_category,wind_category,risk_score
Ad Dakhla,Dakhla-Oued Ed-Dahab,23.7167,-15.95,2026-09-15,24.1,22.5,0.0,20,31.8,39.2,1,Moderate,Dry,Strong Wind,19.15
Ad Dakhla,Dakhla-Oued Ed-Dahab,23.7167,-15.95,2026-09-16,23.2,22.0,0.0,0,35.3,43.9,0,Moderate,Dry,Strong Wind,19.77
Ad Dakhla,Dakhla-Oued Ed-Dahab,23.7167,-15.95,2026-09-17,22.0,20.2,0.0,0,40.5,51.5,2,Moderate,Dry,Strong Wind,21.88
Ad Dakhla,Dakhla-Oued Ed-Dahab,23.7167,-15.95,2026-09-18,21.2,20.2,0.0,0,39.6,49.3,0,Moderate,Dry,Strong Wind,21.43
Ad Dakhla,Dakhla-Oued Ed-Dahab,23.7167,-15.95,2026-09-19,21.0,19.8,0.0,0,30.2,39.2,0,Moderate,Dry,Strong Wind,17.22
Ad Dakhla,Dakhla-Oued Ed-Dahab,23.7167,-15.95,2026-09-20,21.2,19.4,0.0,3,32.6,40.3,0,Moderate,Dry,Strong Wind,18.93
Ad Dakhla,Dakhla-Oued Ed-Dahab,23.7167,-15.95,2026-09-21,21.5,19.2,0.0,12,28.7,41.0,0,Moderate,Dry,Breezy,17.22
Ad Darwa,Casablanca-Settat,33.4167,-7.5333,2026-09-15,33.4,21.0,0.0,0,16.3,32.4,2,Very Hot,Dry,Breezy,23.03
Ad Darwa,Casablanca-Settat,33.4167,-7.5333,2026-09-16,27.7,19.8,0.0,0,16.7,32.8,2,Hot,Dry,Breezy,16.1
Ad Darwa,Casablanca-Settat,33.4167,-7.5333,2026-09-17,27.5,19.1,0.0,0,15.5,31.0,3,Hot,Dry,Breezy,15.25
Ad Darwa,Casablanca-Settat,33.4167,-7.5333,2026-09-18,28.0,17.4,0.0,3,17.1,33.1,3,Hot,Dry,Breezy,16.68
Ad Darwa,Casablanca-Settat,33.4167,-7.5333,2026-09-19,30.3,17.5,0.0,2,16.9,33.1,45,Hot,Dry,Breezy,19.45
Ad Darwa,Casablanca-Settat,33.4167,-7.5333,2026-09-20,37.4,21.8,0.0,3,21.2,40.3,2,Very Hot,Dry,Breezy,30.47
Ad Darwa,Casablanca-Settat,33.4167,-7.5333,2026-09-21,34.5,22.3,0.0,0,19.2,36.7,2,Very Hot,Dry,Breezy,25.85
Agadir,Souss-Massa,30.4214,-9.5831,2026-09-15,34.7,26.7,0.0,5,8.7,31.7,3,Very Hot,Dry,Calm,20.85
Agadir,Souss-Massa,30.4214,-9.5831,2026-09-16,38.3,24.7,0.0,0,18.4,41.8,0,Very Hot,Dry,Breezy,30.2
Agadir,Souss-Massa,30.4214,-9.5831,2026-09-17,30.3,20.9,0.0,0,15.8,45.7,3,Hot,Dry,Breezy,18.9
Agadir,Souss-Massa,30.4214,-9.5831,2026-09-18,26.8,20.4,0.0,0,13.7,38.2,2,Hot,Dry,Breezy,13.47
Agadir,Souss-Massa,30.4214,-9.5831,2026-09-19,27.4,20.8,0.0,0,12.2,36.0,2,Hot,Dry,Breezy,13.47
Agadir,Souss-Massa,30.4214,-9.5831,2026-09-20,29.7,21.3,0.0,0,13.8,28.4,45,Hot,Dry,Breezy,17.15
Agadir,Souss-Massa,30.4214,-9.5831,2026-09-21,39.2,24.4,0.0,0,16.7,34.9,1,Very Hot,Dry,Breezy,30.48
Aguelmous,Béni Mellal-Khénifra,33.1324,-5.8366,2026-09-15,33.0,21.1,0.0,0,21.6,42.5,3,Very Hot,Dry,Breezy,25.18
Aguelmous,Béni Mellal-Khénifra,33.1324,-5.8366,2026-09-16,29.6,16.5,0.0,0,17.5,34.6,2,Hot,Dry,Breezy,18.88
Aguelmous,Béni Mellal-Khénifra,33.1324,-5.8366,2026-09-17,29.2,15.7,0.0,10,19.0,38.5,3,Hot,Dry,Breezy,19.12
Aguelmous,Béni Mellal-Khénifra,33.1324,-5.8366,2026-09-18,29.3,15.2,0.0,15,16.7,33.5,3,Hot,Dry,Breezy,18.1
Aguelmous,Béni Mellal-Khénifra,33.1324,-5.8366,2026-09-19,32.0,16.1,0.0,13,16.4,37.1,3,Very Hot,Dry,Breezy,21.32
Aguelmous,Béni Mellal-Khénifra,33.1324,-5.8366,2026-09-20,34.0,20.7,0.3,2,20.5,40.0,3,Very Hot,Light Rain,Breezy,26.1
Aguelmous,Béni Mellal-Khénifra,33.1324,-5.8366,2026-09-21,32.4,20.2,0.6,8,13.3,29.2,3,Very Hot,Light Rain,Breezy,20.72
Ain El Aouda,Rabat-Salé-Kénitra,33.8111,-6.7922,2026-09-15,31.7,20.0,0.0,0,17.6,34.6,0,Hot,Dry,Breezy,21.55
Ain El Aouda,Rabat-Salé-Kénitra,33.8111,-6.7922,2026-09-16,27.2,18.5,0.0,0,19.7,39.2,2,Hot,Dry,Breezy,16.98
Ain El Aouda,Rabat-Salé-Kénitra,33.8111,-6.7922,2026-09-17,26.9,17.0,0.0,0,16.5,32.8,3,Hot,Dry,Breezy,15.0
Ain El Aouda,Rabat-Salé-Kénitra,33.8111,-6.7922,2026-09-18,28.3,15.2,0.0,3,14.5,28.8,45,Hot,Dry,Breezy,15.75
